"gene","txp","center","Salmon","kallisto"
"ENSG00000188976.10","ENST00000483767.5","CNAG",112.78,96.81
"ENSG00000188976.10","ENST00000483767.5","HMGU",125.25,105.53
"ENSG00000188976.10","ENST00000483767.5","MPIMG",119.66,86.19
"ENSG00000188976.10","ENST00000483767.5","ICMB",206.78,204.25
"ENSG00000188976.10","ENST00000483767.5","LUMC",170.68,173.29
"ENSG00000188976.10","ENST00000483767.5","UNIGE",197.51,213.65
"ENSG00000188976.10","ENST00000483767.5","UU",148.9,152.94
"ENSG00000187961.13","ENST00000466300.1","CNAG",7.45,2.95
"ENSG00000187961.13","ENST00000466300.1","HMGU",10.2,5.51
"ENSG00000187961.13","ENST00000466300.1","MPIMG",7.43,3.08
"ENSG00000187961.13","ENST00000466300.1","ICMB",15.3,15.33
"ENSG00000187961.13","ENST00000466300.1","LUMC",12.39,15.34
"ENSG00000187961.13","ENST00000466300.1","UNIGE",15.14,18.74
"ENSG00000187961.13","ENST00000466300.1","UU",20.42,24.49
"ENSG00000188290.10","ENST00000304952.10","CNAG",7.35,4.1
"ENSG00000188290.10","ENST00000304952.10","HMGU",8.09,5.15
"ENSG00000188290.10","ENST00000304952.10","MPIMG",7.88,4.85
"ENSG00000188290.10","ENST00000304952.10","ICMB",24.89,28.8
"ENSG00000188290.10","ENST00000304952.10","LUMC",24.24,39.06
"ENSG00000188290.10","ENST00000304952.10","UNIGE",20.42,29.58
"ENSG00000188290.10","ENST00000304952.10","UU",27.16,39.65
"ENSG00000188290.10","ENST00000484667.2","CNAG",0,0
"ENSG00000188290.10","ENST00000484667.2","HMGU",0,0
"ENSG00000188290.10","ENST00000484667.2","MPIMG",0,0
"ENSG00000188290.10","ENST00000484667.2","ICMB",2.89,1.69
"ENSG00000188290.10","ENST00000484667.2","LUMC",2.92,3.42
"ENSG00000188290.10","ENST00000484667.2","UNIGE",3.22,2.57
"ENSG00000188290.10","ENST00000484667.2","UU",5.81,5.63
"ENSG00000188157.14","ENST00000379370.6","CNAG",2083.12,1128.61
"ENSG00000188157.14","ENST00000379370.6","HMGU",2141.33,1162.31
"ENSG00000188157.14","ENST00000379370.6","MPIMG",2096.51,978.84
"ENSG00000188157.14","ENST00000379370.6","ICMB",2180.86,2335.75
"ENSG00000188157.14","ENST00000379370.6","LUMC",2423.39,3159.52
"ENSG00000188157.14","ENST00000379370.6","UNIGE",2436.06,3173.5
"ENSG00000188157.14","ENST00000379370.6","UU",3001.8,3569.69
"ENSG00000188157.14","ENST00000477585.1","CNAG",3.93,2.11
"ENSG00000188157.14","ENST00000477585.1","HMGU",4.81,2.38
"ENSG00000188157.14","ENST00000477585.1","MPIMG",2.65,1.32
"ENSG00000188157.14","ENST00000477585.1","ICMB",5.57,5.62
"ENSG00000188157.14","ENST00000477585.1","LUMC",6.7,9.65
"ENSG00000188157.14","ENST00000477585.1","UNIGE",7.43,10.71
"ENSG00000188157.14","ENST00000477585.1","UU",6.97,8.89
"ENSG00000131591.17","ENST00000421241.6","CNAG",61.35,34.88
"ENSG00000131591.17","ENST00000421241.6","HMGU",70.92,39.99
"ENSG00000131591.17","ENST00000421241.6","MPIMG",47.45,17.04
"ENSG00000131591.17","ENST00000421241.6","ICMB",104.49,108.03
"ENSG00000131591.17","ENST00000421241.6","LUMC",93.24,114.61
"ENSG00000131591.17","ENST00000421241.6","UNIGE",91.94,120.17
"ENSG00000131591.17","ENST00000421241.6","UU",121.15,148.87
"ENSG00000186891.13","ENST00000379268.6","CNAG",71.03,24.65
"ENSG00000186891.13","ENST00000379268.6","HMGU",56.11,23.85
"ENSG00000186891.13","ENST00000379268.6","MPIMG",47.31,15.75
"ENSG00000186891.13","ENST00000379268.6","ICMB",72.69,74.96
"ENSG00000186891.13","ENST00000379268.6","LUMC",71.25,92.97
"ENSG00000186891.13","ENST00000379268.6","UNIGE",58.8,73.38
"ENSG00000186891.13","ENST00000379268.6","UU",89.42,103.4
"ENSG00000186827.10","ENST00000379236.3","CNAG",35.19,12.66
"ENSG00000186827.10","ENST00000379236.3","HMGU",45.89,15.93
"ENSG00000186827.10","ENST00000379236.3","MPIMG",38.18,9.93
"ENSG00000186827.10","ENST00000379236.3","ICMB",64.27,69.74
"ENSG00000186827.10","ENST00000379236.3","LUMC",64.14,90.91
"ENSG00000186827.10","ENST00000379236.3","UNIGE",48.29,67.86
"ENSG00000186827.10","ENST00000379236.3","UU",65.78,84.36
"ENSG00000186827.10","ENST00000453580.1","CNAG",0,5.33
"ENSG00000186827.10","ENST00000453580.1","HMGU",0,5.24
"ENSG00000186827.10","ENST00000453580.1","MPIMG",0,3.64
"ENSG00000186827.10","ENST00000453580.1","ICMB",0,0
"ENSG00000186827.10","ENST00000453580.1","LUMC",0,0
"ENSG00000186827.10","ENST00000453580.1","UNIGE",0,0
"ENSG00000186827.10","ENST00000453580.1","UU",0,0
"ENSG00000078808.16","ENST00000360001.10","CNAG",1587.12,1253.82
"ENSG00000078808.16","ENST00000360001.10","HMGU",1346.5,1029.13
"ENSG00000078808.16","ENST00000360001.10","MPIMG",1358.54,1067.85
"ENSG00000078808.16","ENST00000360001.10","ICMB",1496.06,1528.36
"ENSG00000078808.16","ENST00000360001.10","LUMC",1600.83,1745.46
"ENSG00000078808.16","ENST00000360001.10","UNIGE",1443.17,1606.62
"ENSG00000078808.16","ENST00000360001.10","UU",1716.23,1833.64
"ENSG00000078808.16","ENST00000263741.11","CNAG",43.76,37.32
"ENSG00000078808.16","ENST00000263741.11","HMGU",40,31.95
"ENSG00000078808.16","ENST00000263741.11","MPIMG",25.61,19.61
"ENSG00000078808.16","ENST00000263741.11","ICMB",75.07,94.5
"ENSG00000078808.16","ENST00000263741.11","LUMC",84.72,111.25
"ENSG00000078808.16","ENST00000263741.11","UNIGE",76.73,109.81
"ENSG00000078808.16","ENST00000263741.11","UU",97.85,126.2
"ENSG00000078808.16","ENST00000403997.2","CNAG",18.17,260.25
"ENSG00000078808.16","ENST00000403997.2","HMGU",17.03,181.07
"ENSG00000078808.16","ENST00000403997.2","MPIMG",20.81,213.14
"ENSG00000078808.16","ENST00000403997.2","ICMB",3.51,48.51
"ENSG00000078808.16","ENST00000403997.2","LUMC",2.36,10.57
"ENSG00000078808.16","ENST00000403997.2","UNIGE",2.57,27.47
"ENSG00000078808.16","ENST00000403997.2","UU",2.4,32.5
"ENSG00000160087.20","ENST00000347370.6","CNAG",76.69,32.84
"ENSG00000160087.20","ENST00000347370.6","HMGU",83.4,37.38
"ENSG00000160087.20","ENST00000347370.6","MPIMG",64.83,23.57
"ENSG00000160087.20","ENST00000347370.6","ICMB",174.79,137.27
"ENSG00000160087.20","ENST00000347370.6","LUMC",183.89,175.37
"ENSG00000160087.20","ENST00000347370.6","UNIGE",141.63,143.92
"ENSG00000160087.20","ENST00000347370.6","UU",269.22,237.25
"ENSG00000160087.20","ENST00000349431.10","CNAG",259.73,281.54
"ENSG00000160087.20","ENST00000349431.10","HMGU",263.61,273.58
"ENSG00000160087.20","ENST00000349431.10","MPIMG",211.28,222.41
"ENSG00000160087.20","ENST00000349431.10","ICMB",525.9,483.76
"ENSG00000160087.20","ENST00000349431.10","LUMC",476.71,497.79
"ENSG00000160087.20","ENST00000349431.10","UNIGE",429.97,438.95
"ENSG00000160087.20","ENST00000349431.10","UU",552.89,561.85
"ENSG00000160087.20","ENST00000400929.6","CNAG",28.9,39.66
"ENSG00000160087.20","ENST00000400929.6","HMGU",37.42,51.64
"ENSG00000160087.20","ENST00000400929.6","MPIMG",22.89,33.75
"ENSG00000160087.20","ENST00000400929.6","ICMB",201.12,221.86
"ENSG00000160087.20","ENST00000400929.6","LUMC",156.17,174.1
"ENSG00000160087.20","ENST00000400929.6","UNIGE",142.61,172.32
"ENSG00000160087.20","ENST00000400929.6","UU",203.64,215.2
"ENSG00000160087.20","ENST00000360466.6","CNAG",295.16,262.58
"ENSG00000160087.20","ENST00000360466.6","HMGU",281.49,262.45
"ENSG00000160087.20","ENST00000360466.6","MPIMG",269.39,302.64
"ENSG00000160087.20","ENST00000360466.6","ICMB",66.45,57.09
"ENSG00000160087.20","ENST00000360466.6","LUMC",71.17,55.42
"ENSG00000160087.20","ENST00000360466.6","UNIGE",81.49,52.26
"ENSG00000160087.20","ENST00000360466.6","UU",54.38,35.27
"ENSG00000131584.18","ENST00000354700.9","CNAG",296.02,241.24
"ENSG00000131584.18","ENST00000354700.9","HMGU",297.3,265.48
"ENSG00000131584.18","ENST00000354700.9","MPIMG",269.59,221.35
"ENSG00000131584.18","ENST00000354700.9","ICMB",336.91,345.15
"ENSG00000131584.18","ENST00000354700.9","LUMC",324.13,396.88
"ENSG00000131584.18","ENST00000354700.9","UNIGE",324.2,411.5
"ENSG00000131584.18","ENST00000354700.9","UU",437.84,505.96
"ENSG00000169972.11","ENST00000379031.9","CNAG",192.5,152.79
"ENSG00000169972.11","ENST00000379031.9","HMGU",168.51,127.57
"ENSG00000169972.11","ENST00000379031.9","MPIMG",175.39,121.62
"ENSG00000169972.11","ENST00000379031.9","ICMB",213,224.67
"ENSG00000169972.11","ENST00000379031.9","LUMC",178.18,219.74
"ENSG00000169972.11","ENST00000379031.9","UNIGE",176.2,225.83
"ENSG00000169972.11","ENST00000379031.9","UU",224.09,270.01
"ENSG00000169972.11","ENST00000470520.5","CNAG",2.22,0.83
"ENSG00000169972.11","ENST00000470520.5","HMGU",1.92,0.95
"ENSG00000169972.11","ENST00000470520.5","MPIMG",0,0
"ENSG00000169972.11","ENST00000470520.5","ICMB",6.31,5.37
"ENSG00000169972.11","ENST00000470520.5","LUMC",5.16,6.15
"ENSG00000169972.11","ENST00000470520.5","UNIGE",5.01,5.5
"ENSG00000169972.11","ENST00000470520.5","UU",6.23,7.7
"ENSG00000169972.11","ENST00000463758.1","CNAG",0,0
"ENSG00000169972.11","ENST00000463758.1","HMGU",0,0
"ENSG00000169972.11","ENST00000463758.1","MPIMG",0,0
"ENSG00000169972.11","ENST00000463758.1","ICMB",2.39,2.88
"ENSG00000169972.11","ENST00000463758.1","LUMC",3.31,5.44
"ENSG00000169972.11","ENST00000463758.1","UNIGE",2.21,3.72
"ENSG00000169972.11","ENST00000463758.1","UU",2.93,4.12
"ENSG00000169972.11","ENST00000467712.1","CNAG",0,0
"ENSG00000169972.11","ENST00000467712.1","HMGU",0,0
"ENSG00000169972.11","ENST00000467712.1","MPIMG",0,0
"ENSG00000169972.11","ENST00000467712.1","ICMB",6.42,2.25
"ENSG00000169972.11","ENST00000467712.1","LUMC",5.39,5.76
"ENSG00000169972.11","ENST00000467712.1","UNIGE",5.63,5.5
"ENSG00000169972.11","ENST00000467712.1","UU",7.95,8.21
"ENSG00000127054.20","ENST00000461514.6","CNAG",0.89,1.97
"ENSG00000127054.20","ENST00000461514.6","HMGU",0.76,2.05
"ENSG00000127054.20","ENST00000461514.6","MPIMG",0,0
"ENSG00000127054.20","ENST00000461514.6","ICMB",13.71,13.69
"ENSG00000127054.20","ENST00000461514.6","LUMC",11.13,14.65
"ENSG00000127054.20","ENST00000461514.6","UNIGE",9.71,13.89
"ENSG00000127054.20","ENST00000461514.6","UU",16.87,18.31
"ENSG00000224051.6","ENST00000343938.8","CNAG",326.45,235.96
"ENSG00000224051.6","ENST00000343938.8","HMGU",307.01,218.44
"ENSG00000224051.6","ENST00000343938.8","MPIMG",291.79,177.28
"ENSG00000224051.6","ENST00000343938.8","ICMB",351.31,383.28
"ENSG00000224051.6","ENST00000343938.8","LUMC",342.04,432.92
"ENSG00000224051.6","ENST00000343938.8","UNIGE",346.3,459.44
"ENSG00000224051.6","ENST00000343938.8","UU",402.02,502.27
"ENSG00000107404.19","ENST00000378891.9","CNAG",153.79,295.65
"ENSG00000107404.19","ENST00000378891.9","HMGU",200.26,263.46
"ENSG00000107404.19","ENST00000378891.9","MPIMG",151.62,207.24
